URL,Product Name,Rating,Price,Availability,Image URL,Image Path
http://www.amazon.com/dp/B00U3FPN4U/,Amazon Fire TV with 4K Ultra HD,Not available,Not available,Not available,https://m.media-amazon.com/images/I/61vRO9CByPL._AC_SY300_SX300_.jpg,product_images/Amazon_Fire_TV_with_4K_Ultra_HD.jpg
http://www.amazon.com/dp/B019WAQMVY/,Linksys EA7500 Dual-Band Wi-Fi Router for Home (Max-Stream AC1900 MU-Mimo Fast Wireless Router),Not available,Not available,Not available,https://m.media-amazon.com/images/I/61pp7OEIjHL.__AC_SY300_SX300_QL70_ML2_.jpg,product_images/Linksys_EA7500_Dual-Band_Wi-Fi_Router_for_Home_(Max-Stream_AC1900_MU-Mimo_Fast_Wireless_Router).jpg
https://www.amazon.com/ARRIS-SURFboard-Approved-SB8200-Frustration/dp/B07DY16W2Z/ref=pd_bxgy_d_sccl_1/132-4851674-9509208?pd_rd_w=y95xn&content-id=amzn1.sym.3bab075c-1a14-40c5-9538-32fa6dff1246&pf_rd_p=3bab075c-1a14-40c5-9538-32fa6dff1246&pf_rd_r=6JB407YNSWHVE1MJMWBC&pd_rd_wg=qQCY6&pd_rd_r=d0257c66-78e7-4f9d-b244-eb4b14d56c04&pd_rd_i=B07DY16W2Z&psc=1,"ARRIS SURFboard SB8200 DOCSIS 3.1 Cable Modem , Approved for Comcast Xfinity, Cox, Charter Spectrum, & more , Two 1 Gbps Ports , 1 Gbps Max Internet Speeds , 4 OFDM Channels",Not available,Not available,Not available,https://m.media-amazon.com/images/I/61gpTKAdB0L.__AC_SX300_SY300_QL70_ML2_.jpg,product_images/ARRIS_SURFboard_SB8200_DOCSIS_3.1_Cable_Modem___Approved_for_Comcast_Xfinity__Cox__Charter_Spectrum__&_more___Two_1_Gbps_Ports___1_Gbps_Max_Internet_Speeds___4_OFDM_Channels.jpg
https://www.amazon.com/WiFi-6-Router-Gigabit-Wireless/dp/B08H8ZLKKK/ref=pd_bxgy_d_sccl_1/132-4851674-9509208?pd_rd_w=HbyrP&content-id=amzn1.sym.3bab075c-1a14-40c5-9538-32fa6dff1246&pf_rd_p=3bab075c-1a14-40c5-9538-32fa6dff1246&pf_rd_r=P1SER5CBDZ8SVQ9HNGT5&pd_rd_wg=jXI8W&pd_rd_r=1f987395-0241-4242-a787-81aa09590057&pd_rd_i=B08H8ZLKKK&psc=1 ,"TP-Link AX1800 WiFi 6 Router (Archer AX21) – Dual Band Wireless Internet Router, Gigabit Router, Easy Mesh, Works with Alexa - A Certified for Humans Device",Not available,Not available,Not available,https://m.media-amazon.com/images/I/51NPaIorJiL.__AC_SX300_SY300_QL70_ML2_.jpg,product_images/TP-Link_AX1800_WiFi_6_Router_(Archer_AX21)_–_Dual_Band_Wireless_Internet_Router__Gigabit_Router__Easy_Mesh__Works_with_Alexa_-_A_Certified_for_Humans_Device.jpg
https://www.amazon.com/dp/B0BBM23CRN/ref=sspa_dk_detail_1?psc=1&pd_rd_i=B0BBM23CRN&pd_rd_w=fK1BC&content-id=amzn1.sym.386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_p=386c274b-4bfe-4421-9052-a1a56db557ab&pf_rd_r=ES75KDJ0EBCVXJQAZZBM&pd_rd_wg=y3dI9&pd_rd_r=3c914835-cdaa-42de-9e2d-cef44c344f33&s=pc&sp_csd=d2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM ,"New 2023 Tongyu AX1800 WiFi 6 Router, Dual Band Gigabit Wireless 5GHz 1.8Gbps Internet Router for Gaming and Streaming and Up to 60 Devices Connected for Home, Office, Business",Not available,Not available,Not available,https://m.media-amazon.com/images/I/41lyP1k9BpL.__AC_SX300_SY300_QL70_ML2_.jpg,product_images/New_2023_Tongyu_AX1800_WiFi_6_Router__Dual_Band_Gigabit_Wireless_5GHz_1.8Gbps_Internet_Router_for_Gaming_and_Streaming_and_Up_to_60_Devices_Connected_for_Home__Office__Business.jpg
https://www.amazon.com/Lizsword-Breathing-High-Precision-Adjustable-Programmable/dp/B09NBV52FS/ref=pd_bxgy_d_sccl_1/132-4851674-9509208?pd_rd_w=f8Xb9&content-id=amzn1.sym.3bab075c-1a14-40c5-9538-32fa6dff1246&pf_rd_p=3bab075c-1a14-40c5-9538-32fa6dff1246&pf_rd_r=YR34GV90VT1E5Q9217FS&pd_rd_wg=yHkwO&pd_rd_r=843cb347-7f1a-48ea-af8c-026129ce52dc&pd_rd_i=B09NBV52FS&psc=1 ,"WEEMSBOX Wired Gaming Mouse [Breathing RGB LED] [Plug Play] High-Precision Adjustable 7200 DPI, 7 Programmable Buttons, Ergonomic Computer USB Mice for Windows/PC/Mac/Laptop Gamer",Not available,Not available,Not available,https://m.media-amazon.com/images/I/61LZk+r6FqL._AC_SY300_SX300_.jpg,product_images/WEEMSBOX_Wired_Gaming_Mouse_[Breathing_RGB_LED]_[Plug_Play]_High-Precision_Adjustable_7200_DPI__7_Programmable_Buttons__Ergonomic_Computer_USB_Mice_for_Windows_PC_Mac_Laptop_Gamer.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NDUyNTIxMTc2ODY2MDM5OjE3MDc0ODk0MjI6c3BfZGV0YWlsX3RoZW1hdGljOjMwMDA4MjM0ODQ0NzYwMjo6Ojo&url=%2Fdp%2FB0C7C1QCYM%2Fref%3Dsspa_dk_detail_2%3Fpsc%3D1%26pd_rd_i%3DB0C7C1QCYM%26pd_rd_w%3DEdGlj%26content-id%3Damzn1.sym.386c274b-4bfe-4421-9052-a1a56db557ab%26pf_rd_p%3D386c274b-4bfe-4421-9052-a1a56db557ab%26pf_rd_r%3DYR34GV90VT1E5Q9217FS%26pd_rd_wg%3DyHkwO%26pd_rd_r%3D843cb347-7f1a-48ea-af8c-026129ce52dc%26s%3Dpc%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM,"Reyee AX3000 Wi-Fi 6 Router, Dual Band Internet, 802.11ax Wireless, Coverage up to 3,000 Sq. Ft., Gigabit Wan Aggregation, WPA3, Smart VPN for Large Home (RG-E4)",Not available,Not available,Not available,https://m.media-amazon.com/images/I/61S4ZdlRmOL.__AC_SX300_SY300_QL70_ML2_.jpg,product_images/Reyee_AX3000_Wi-Fi_6_Router__Dual_Band_Internet__802.11ax_Wireless__Coverage_up_to_3_000_Sq._Ft.__Gigabit_Wan_Aggregation__WPA3__Smart_VPN_for_Large_Home_(RG-E4).jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo3MzA1OTM1ODU4OTE4MDM5OjE3MDc0ODk0MjI6c3BfZGV0YWlsOjMwMDEyODY5OTIwOTkwMjo6Ojo&url=%2Fdp%2FB0CPY7Y86Y%2Fref%3Dsspa_dk_detail_3%3Fpsc%3D1%26pd_rd_i%3DB0CPY7Y86Y%26pd_rd_w%3DtJyLu%26content-id%3Damzn1.sym.eb7c1ac5-7c51-4df5-ba34-ca810f1f119a%26pf_rd_p%3Deb7c1ac5-7c51-4df5-ba34-ca810f1f119a%26pf_rd_r%3DYR34GV90VT1E5Q9217FS%26pd_rd_wg%3DyHkwO%26pd_rd_r%3D843cb347-7f1a-48ea-af8c-026129ce52dc%26s%3Dpc%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9kZXRhaWw ,"Wiflyer AX3600 WiFi 6 Router, Dual Band Gigabit Wireless High Speed Router, 802.11ax Internet Router, Strong Signal and Wide Coverage, S600",Not available,Not available,Not available,https://m.media-amazon.com/images/I/51Fn6d-8-LL.__AC_SX300_SY300_QL70_ML2_.jpg,product_images/Wiflyer_AX3600_WiFi_6_Router__Dual_Band_Gigabit_Wireless_High_Speed_Router__802.11ax_Internet_Router__Strong_Signal_and_Wide_Coverage__S600.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo1NDUyNTIxMTc2ODY2MDM5OjE3MDc0ODk0MjI6c3BfZGV0YWlsX3RoZW1hdGljOjIwMDExMTA5NDgzMDc5ODo6Ojo&url=%2Fdp%2FB09GFP2FHL%2Fref%3Dsspa_dk_detail_0%3Fpsc%3D1%26pd_rd_i%3DB09GFP2FHL%26pd_rd_w%3DEdGlj%26content-id%3Damzn1.sym.386c274b-4bfe-4421-9052-a1a56db557ab%26pf_rd_p%3D386c274b-4bfe-4421-9052-a1a56db557ab%26pf_rd_r%3DYR34GV90VT1E5Q9217FS%26pd_rd_wg%3DyHkwO%26pd_rd_r%3D843cb347-7f1a-48ea-af8c-026129ce52dc%26s%3Dpc%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM ,"Reyee WiFi 6 Router AX3200 Wireless Internet High Speed Smart Router with 8 Antennas, Built-in VPN,WPA3,Dual Band Gigabit Computer Router Mesh Support for Homes up to 3000 Sq. ft. - E5",Not available,Not available,Not available,https://m.media-amazon.com/images/I/619znf6BzfL.__AC_SX300_SY300_QL70_ML2_.jpg,product_images/Reyee_WiFi_6_Router_AX3200_Wireless_Internet_High_Speed_Smart_Router_with_8_Antennas__Built-in_VPN_WPA3_Dual_Band_Gigabit_Computer_Router_Mesh_Support_for_Homes_up_to_3000_Sq._ft._-_E5.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDM3NDc2MTkyOTA2MDM5OjE3MDc0ODk1NzI6c3BfZGV0YWlsX3RoZW1hdGljOjIwMDAxNDEyMDUxNjI4MTo6Ojo&url=%2Fdp%2FB07D9M51X8%2Fref%3Dsspa_dk_detail_2%3Fpsc%3D1%26pd_rd_i%3DB07D9M51X8%26pd_rd_w%3D4FsV7%26content-id%3Damzn1.sym.a53ea610-e450-44d1-897e-68c0c718bf50%26pf_rd_p%3Da53ea610-e450-44d1-897e-68c0c718bf50%26pf_rd_r%3D6CWQV3VAVN1PVT45W1T6%26pd_rd_wg%3DbSjv6%26pd_rd_r%3D2e79af92-8f47-4b40-9561-3006e704d553%26s%3Dbeauty%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM ,"Pharmacopia Citrus Body Lotion - Hydrating Natural Moisturizer with Aromatherapy Benefits - Cruelty-Free Vegan Skin Care - Shea Butter, Aloe Vera, and Jojoba Oil - Lotion for Dry Skin, 16 oz",Not available,Not available,Not available,https://m.media-amazon.com/images/I/41tfxYcxnLL._SX300_SY300_QL70_ML2_.jpg,product_images/Pharmacopia_Citrus_Body_Lotion_-_Hydrating_Natural_Moisturizer_with_Aromatherapy_Benefits_-_Cruelty-Free_Vegan_Skin_Care_-_Shea_Butter__Aloe_Vera__and_Jojoba_Oil_-_Lotion_for_Dry_Skin__16_oz.jpg
 https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDM3NDc2MTkyOTA2MDM5OjE3MDc0ODk1NzI6c3BfZGV0YWlsX3RoZW1hdGljOjIwMDA4ODk4OTkzODI5ODo6Ojo&url=%2Fdp%2FB075G3RJDZ%2Fref%3Dsspa_dk_detail_3%3Fpsc%3D1%26pd_rd_i%3DB075G3RJDZ%26pd_rd_w%3D4FsV7%26content-id%3Damzn1.sym.a53ea610-e450-44d1-897e-68c0c718bf50%26pf_rd_p%3Da53ea610-e450-44d1-897e-68c0c718bf50%26pf_rd_r%3D6CWQV3VAVN1PVT45W1T6%26pd_rd_wg%3DbSjv6%26pd_rd_r%3D2e79af92-8f47-4b40-9561-3006e704d553%26s%3Dbeauty%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM,"Lubriderm Fragrance Free Daily Moisture Lotion + Pro-Ceramide, Shea Butter & Glycerin, Face, Hand & Body Lotion for Sensitive Skin, Hydrating Lotion for Healthier-Looking Skin, 24 fl. oz",Not available,Not available,Not available,https://m.media-amazon.com/images/I/31NFNDEjosL._SX300_SY300_QL70_ML2_.jpg,product_images/Lubriderm_Fragrance_Free_Daily_Moisture_Lotion_+_Pro-Ceramide__Shea_Butter_&_Glycerin__Face__Hand_&_Body_Lotion_for_Sensitive_Skin__Hydrating_Lotion_for_Healthier-Looking_Skin__24_fl._oz.jpg
https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDM3NDc2MTkyOTA2MDM5OjE3MDc0ODk1NzI6c3BfZGV0YWlsX3RoZW1hdGljOjMwMDA3NDYxNzkxNzUwMjo6Ojo&url=%2Fdp%2FB08Q1J3V2T%2Fref%3Dsspa_dk_detail_4%3Fpsc%3D1%26pd_rd_i%3DB08Q1J3V2T%26pd_rd_w%3D4FsV7%26content-id%3Damzn1.sym.a53ea610-e450-44d1-897e-68c0c718bf50%26pf_rd_p%3Da53ea610-e450-44d1-897e-68c0c718bf50%26pf_rd_r%3D6CWQV3VAVN1PVT45W1T6%26pd_rd_wg%3DbSjv6%26pd_rd_r%3D2e79af92-8f47-4b40-9561-3006e704d553%26s%3Dbeauty%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM ,"Aveeno Daily Moisturizing Body Lotion, Gentle Lotion Nourishes Dry Skin With Moisture, Soothing Prebiotic Oat, Fragrance-Free, Non-Comedogenic, Travel-Size, Pack of Three, 3 x 2.5 fl. Oz",Not available,Not available,Not available,https://m.media-amazon.com/images/I/41MQA3XbczL._SX300_SY300_QL70_ML2_.jpg,product_images/Aveeno_Daily_Moisturizing_Body_Lotion__Gentle_Lotion_Nourishes_Dry_Skin_With_Moisture__Soothing_Prebiotic_Oat__Fragrance-Free__Non-Comedogenic__Travel-Size__Pack_of_Three__3_x_2.5_fl._Oz.jpg
 https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo0NDM3NDc2MTkyOTA2MDM5OjE3MDc0ODk1NzI6c3BfZGV0YWlsX3RoZW1hdGljOjIwMDA1NTkwNjEyOTM5ODo6Ojo&url=%2Fdp%2FB08SWNJL4J%2Fref%3Dsspa_dk_detail_1%3Fpsc%3D1%26pd_rd_i%3DB08SWNJL4J%26pd_rd_w%3D4FsV7%26content-id%3Damzn1.sym.a53ea610-e450-44d1-897e-68c0c718bf50%26pf_rd_p%3Da53ea610-e450-44d1-897e-68c0c718bf50%26pf_rd_r%3D6CWQV3VAVN1PVT45W1T6%26pd_rd_wg%3DbSjv6%26pd_rd_r%3D2e79af92-8f47-4b40-9561-3006e704d553%26s%3Dbeauty%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9kZXRhaWxfdGhlbWF0aWM,PlaneAire Special Edition Sandalwood Lotion Hand Sanitizer (2 oz.),Not available,Not available,Not available,https://m.media-amazon.com/images/I/316mtzzxUAL._SX300_SY300_QL70_ML2_.jpg,product_images/PlaneAire_Special_Edition_Sandalwood_Lotion_Hand_Sanitizer_(2_oz.).jpg
